packages,description,part
acpi,battery info,1
tlp tp_smapi,TLP powermanagement,1
tmux,terminal multiplexer,1
pulseaudio pulseaudio-alsa,audio system,1
pulseaudio-bluetooth,bluetooth support for audio system,1
pulsemixer,audio mixer for pulseaudio,1
bluez bluez-utils,bluetooth controller,1
git,code versioning controller,1
ranger,file manager,1
cmus,mp3 player,1
unzip,extract zip,1
unrar,extract rar,1
youtube-dl,youtube downloader,1
ntfs-3g,NTFS file system support,1
dosfstools,FAT file system support,1
exfat-utils,EXFAT file system support,1
mediainfo,audio and video information,1
xorg-server,X server,2
xorg-xinit,starter for X server,2
xorg-xbacklight,brightness,2
xf86-video-intel xf86-video-amdgpu,graphic driver,2
i3-wm,window manager,2
i3blocks,status bar,2
i3lock,screen locker,2
dmenu,application launcher,2
xterm,terminal emulator,2
arandr,multidisplay manager,2
chromium,web browser,2
libreoffice-fresh,office,2
zathura zathura-pdf-mupdf,pdf reader,2
sxiv,image viewer,2
imagemagick,simple image manipulation tools,2
inkscape,vector based image editor,2
gimp,bitmap based image editor,2
maim,screenshot tools,2
xdotool,X automation tool,2
mpv,video player,2
ffmpeg,multimedia tool for video and audio,2
xclip,clipboard,2
xwallpaper,wallpaper setter,2
virtualbox virtualbox-host-modules-arch virtualbox-guest-iso,virtual machine,2
